Age,Employment_Type,Annual_Income,Employment_Duration_Years,Number_of_Dependents,Loan_Purpose,Loan_Amount,Loan_Tenure_Months,Existing_Loans_Count,Total_Outstanding_Debt,Existing_Monthly_EMI,Debt_to_Income_Ratio,Loan_to_Income_Ratio,Credit_Utilization,Previous_Defaults,Missed_Payments,Maximum_Days_Past_Due,Recent_Credit_Enquiries,Credit_History_Length,Number_of_Credit_Accounts,Payment_History,Credit_Score,Decision
37,Salaried,609600,6.2,3,Personal,226000,60,0,0,0,9.31,37.07,30.2,1,0,0,0,15.7,2,95.82,706,1
49,Salaried,528300,0.5,3,Personal,371000,72,2,758300,16540,55.69,70.23,34.23,0,0,0,2,24.2,4,100,735,1
21,Salaried,934600,10.8,1,Personal,2213000,12,0,0,0,95,236.79,46.02,0,0,0,3,0.5,4,98.32,604,0
31,Salaried,352600,6.2,2,Personal,948000,24,0,0,0,95,268.86,24.19,0,1,16,1,14,4,99.4,687,0
23,Salaried,610700,9.5,1,Personal,323000,84,3,725300,25510,62.12,52.89,4.36,0,0,0,2,0.5,7,97.12,693,0
24,Salaried,314800,9.9,2,Home,325000,48,1,68000,2080,41.83,103.24,27.03,0,0,0,4,0.5,4,99.09,618,0
44,Contract,805000,5.7,0,Business,1190000,60,3,632400,19460,66.02,147.83,9.12,1,0,0,1,21,4,95.88,725,1
31,Salaried,380900,3.3,1,Business,881000,48,1,159900,4150,89.21,231.29,35.76,0,0,0,1,5.9,2,100,679,0
21,Salaried,362100,8.3,1,Education,117000,48,2,249900,8780,39.32,32.31,49.66,0,0,0,1,0.5,6,99.49,637,1
35,Salaried,212700,3.4,0,Personal,190000,36,0,0,0,38.23,89.33,1,0,0,0,1,7.9,4,99.03,733,1
53,Self-Employed,1611400,3.5,1,Home,2213000,72,0,0,0,33.02,137.33,57.92,0,1,17,2,29.1,2,99.57,756,1
21,Salaried,633500,10.2,0,Vehicle,1167000,84,1,320100,11310,59.53,184.21,11.53,1,1,9,3,0.5,3,86.47,649,0
41,Self-Employed,777100,4.4,2,Home Renovation,1780000,60,1,308200,10130,78.43,229.06,24.29,0,0,0,1,15.8,4,100,757,0
49,Salaried,378100,4.8,3,Personal,176000,48,0,0,0,15.15,46.55,18.08,0,1,10,1,21.6,2,96.15,732,1
36,Salaried,783800,8.6,2,Personal,1052000,24,0,0,0,79.09,134.22,41.83,0,0,0,0,10.8,1,100,687,0
52,Salaried,493500,4.7,1,Home Renovation,1269000,84,0,0,0,56.23,257.14,17.96,0,1,7,1,34,2,96.95,781,1
30,Salaried,378100,2.5,2,Home,276000,36,3,632800,16570,81.19,73,50.18,0,1,8,2,8.1,6,95.22,669,0
48,Salaried,592500,5.3,4,Home,1051000,60,0,0,0,47.5,177.38,66.25,0,0,0,2,24.6,1,99.29,716,0
46,Salaried,447800,7,1,Vehicle,1198000,36,0,0,0,95,267.53,8.73,0,0,0,6,18.7,6,99.16,751,0
36,Self-Employed,614500,4.3,2,Home,1568000,72,1,680300,19360,95,255.17,15.81,0,0,0,7,11.1,4,100,705,0
23,Self-Employed,183200,5.9,2,Personal,223000,36,3,1779900,46570,95,121.72,63.54,0,0,0,1,0.5,6,96.57,597,0
27,Salaried,1040800,4.8,1,Personal,807000,72,0,0,0,17.73,77.54,39.43,0,1,8,2,2.7,5,99.31,645,1
21,Professional,797900,2.5,1,Education,1769000,84,0,0,0,47.26,221.71,48.53,0,0,0,3,0.5,4,100,614,0
41,Professional,846200,0.5,2,Education,314000,12,1,49300,950,40.74,37.11,26,0,0,0,0,21,3,97.82,724,0
40,Salaried,693300,8.2,3,Personal,1769000,48,3,326900,10590,95,255.16,11.97,0,3,48,1,9.9,5,86.69,704,0
37,Professional,622100,6.2,0,Vehicle,349000,24,1,92600,2420,35.78,56.1,24.93,0,2,13,0,16.2,6,91.73,734,1
35,Salaried,755300,5.5,4,Home,1266000,60,2,190200,5050,56.03,167.62,17.51,0,2,32,2,12.4,4,94.54,720,0
48,Salaried,474100,4.2,3,Education,570000,84,1,278600,6110,39.11,120.23,24.72,0,0,0,3,31,3,98.28,784,1
39,Professional,474000,6.7,0,Home,132000,36,1,365100,13680,46.18,27.85,26.48,0,1,7,2,14.8,3,96.29,733,1
31,Self-Employed,847200,4,2,Personal,502000,60,0,0,0,14.79,59.25,27.63,0,2,18,0,3.5,6,94.68,666,0
37,Professional,300000,7.2,2,Vehicle,533000,12,0,0,0,95,177.67,59.73,1,2,31,2,20.3,4,89.87,633,0
53,Salaried,548000,5,1,Medical,340000,84,1,23100,920,16.02,62.04,48.43,0,0,0,2,35,3,96.49,780,1
41,Salaried,634800,2.9,1,Education,1504000,48,1,845100,23050,95,236.93,34.48,0,0,0,5,16.2,6,100,719,0
33,Salaried,548600,11,2,Personal,1418000,48,1,35200,1040,84.26,258.48,29.79,0,0,0,3,11.9,5,98.56,706,0
36,Professional,590700,8.3,0,Personal,1123000,36,2,573800,14480,95,190.11,15.76,0,0,0,1,8.2,7,97.25,708,0
40,Salaried,278000,10,1,Personal,527000,12,1,223800,5830,95,189.57,52.73,0,0,0,5,18.2,4,100,699,0
32,Self-Employed,2656900,9,2,Personal,2768000,60,1,78700,2850,29,104.18,7.55,0,1,11,2,4.8,3,98.47,735,1
32,Professional,396800,4.1,2,Personal,177000,60,1,1354500,55020,95,44.61,19.13,1,2,16,1,9,6,86.86,636,0
36,Contract,456800,5.3,1,Home,324000,12,0,0,0,75.89,70.93,50.51,0,1,8,1,13.9,3,97.31,686,0
49,Contract,472700,8.5,1,Vehicle,1206000,36,0,0,0,95,255.13,3.96,0,0,0,3,19.6,3,100,763,0
43,Salaried,1203900,5.4,4,Medical,2334000,72,0,0,0,51.01,193.87,23.81,1,3,51,9,18.9,1,86.77,662,0
33,Professional,979800,2.9,0,Vehicle,750000,72,0,0,0,16.72,76.55,17.24,0,1,11,1,8.6,2,97.05,701,1
43,Salaried,838700,5.9,2,Home,612000,60,1,370400,9840,35.5,72.97,30.7,0,0,0,3,19.3,3,100,751,1
36,Salaried,447100,11.1,1,Personal,642000,60,0,0,0,36.2,143.59,37.1,0,0,0,1,13,3,100,704,0
39,Professional,878600,6.6,3,Vehicle,1129000,60,1,371800,9700,49.27,128.5,16.87,0,0,0,2,22,3,100,752,1
38,Business Owner,774100,0.8,0,Medical,1234000,36,2,143400,5140,69.74,159.41,26.06,0,0,0,3,12.1,5,99.54,712,0
21,Professional,1230500,3.9,4,Business,2198000,24,2,284400,11640,95,178.63,25.78,0,0,0,3,0.5,6,100,636,0
21,Salaried,1135000,10,1,Medical,2728000,48,1,123000,4450,86.88,240.35,58.89,0,1,15,1,0.5,2,95.98,610,0
38,Self-Employed,896700,5.3,2,Personal,1351000,36,0,0,0,62.26,150.66,33.09,0,0,0,1,12.2,1,97.99,693,1
29,Business Owner,613400,0.8,2,Personal,1292000,48,0,0,0,67.99,210.63,47.3,0,0,0,3,3.7,3,97.3,624,0
22,Contract,445000,6.6,3,Home,788000,60,0,0,0,52.43,177.08,20.45,0,1,17,3,0.5,2,98.11,674,1
29,Business Owner,412500,4.5,2,Consumer Durable,692000,60,0,0,0,44.4,167.76,21.9,0,1,10,2,4,3,99.24,707,0
44,Salaried,370100,9.2,1,Education,494000,60,0,0,0,38.96,133.48,15.9,0,2,16,5,15.5,4,99.47,715,1
39,Salaried,729800,5.5,2,Home Renovation,1715000,72,3,1065900,24410,95,235,23.76,0,3,17,3,16.7,5,88.83,685,0
43,Salaried,1717600,11.6,3,Consumer Durable,4651000,60,2,422700,12110,81.64,270.78,14.73,0,3,33,2,19.3,5,95.48,735,0
40,Contract,1923200,4.1,1,Personal,2956000,12,0,0,0,95,153.7,10.44,0,0,0,1,27.3,4,100,799,1
28,Salaried,827800,9.2,2,Vehicle,1962000,36,1,992500,29460,95,237.01,54.36,0,1,9,7,1.2,6,96.45,605,0
43,Salaried,1030000,5.9,1,Personal,901000,48,1,412100,7990,39.84,87.48,27.24,0,0,0,2,21.6,3,100,753,1
41,Salaried,379400,4.4,3,Personal,935000,60,2,684500,21320,95,246.44,28.83,0,0,0,4,15,4,97.95,694,0
35,Self-Employed,477700,5.1,2,Business,838000,60,0,0,0,51.39,175.42,22,0,0,0,4,11.9,1,97.05,682,1
37,Salaried,291900,2.6,1,Education,354000,60,2,210000,7110,64.72,121.27,25.69,1,0,0,2,10.8,7,92.39,663,0
43,Salaried,634100,9,2,Business,304000,60,0,0,0,13.8,47.94,31.28,0,2,17,3,14.3,3,100,721,1
30,Business Owner,666500,3.8,1,Education,269000,36,2,1755800,61530,95,40.36,34.43,0,0,0,2,0.7,6,100,613,0
45,Self-Employed,474500,10.3,3,Business,877000,72,3,1405900,42630,95,184.83,21.93,0,2,17,0,20.8,8,94.46,708,0
41,Self-Employed,490800,7.9,0,Business,1280000,24,0,0,0,95,260.8,17.04,0,1,10,1,16.8,3,98.76,716,1
36,Self-Employed,862700,5.2,2,Personal,1149000,24,0,0,0,76.99,133.19,35.97,0,0,0,0,20.7,4,99.29,763,0
49,Contract,1470900,6.5,0,Business,3167000,72,0,0,0,53.27,215.31,61.67,0,1,18,3,25.1,3,100,711,0
25,Salaried,1549600,7.6,1,Home,2907000,36,1,297600,10060,82.67,187.6,7.52,0,0,0,2,7.9,6,100,738,1
32,Salaried,940500,8.1,0,Vehicle,963000,48,0,0,0,32.37,102.39,35.73,1,2,32,2,7.7,4,81.57,634,1
30,Contract,909600,11.6,0,Vehicle,2441000,12,0,0,0,95,268.36,38.36,0,0,0,3,1.5,4,99.9,623,0
39,Salaried,1126500,10.9,1,Education,1188000,24,1,79400,2750,64.53,105.46,58.79,0,0,0,2,12.6,3,100,681,0
46,Business Owner,876900,0.5,2,Business,909000,84,2,986000,36670,74.13,103.66,31.13,1,3,31,1,21.4,5,92.6,707,0
28,Business Owner,533900,9.7,4,Personal,487000,24,2,148300,5960,64.31,91.22,30.02,0,0,0,1,4.5,3,100,669,0
64,Salaried,545800,7.1,2,Education,731000,36,1,212200,6310,68.24,133.93,7.74,1,1,18,4,35,3,89.78,765,0
30,Salaried,446600,2.7,1,Education,346000,72,0,0,0,17.69,77.47,21.71,0,2,20,1,5.8,1,96.69,678,1
39,Professional,345200,3.4,2,Business,169000,24,2,380700,9900,61.44,48.96,62.57,0,2,15,2,15.8,7,94.28,652,0
36,Salaried,811800,8.7,1,Education,739000,60,0,0,0,25.69,91.03,35.8,0,1,8,4,15.2,4,95.19,686,1
36,Salaried,731100,6.8,1,Consumer Durable,946000,60,1,49500,1820,37.24,129.39,12.89,0,3,30,3,5.6,5,94.55,706,1
29,Professional,379600,5.5,2,Education,671000,36,1,342000,11390,95,176.77,21.38,0,0,0,0,4.3,5,100,681,0
45,Business Owner,1050600,10.6,0,Personal,2428000,48,0,0,0,73.7,231.11,34.84,0,0,0,3,21.7,3,99.26,707,0
29,Salaried,396600,5.4,4,Personal,887000,84,0,0,0,47.96,223.65,45.87,1,1,16,4,9.9,5,87.29,622,0
21,Salaried,323900,9.8,0,Vehicle,879000,72,2,305800,8900,95,271.38,35.53,0,0,0,2,0.5,7,99.81,638,0
26,Self-Employed,334200,0.5,2,Personal,927000,24,1,69200,2030,95,277.38,31.74,1,5,45,5,0.5,2,77.24,576,0
48,Salaried,920000,11.9,2,Personal,2417000,24,1,50100,1770,95,262.72,11.88,0,0,0,4,25,3,100,754,1
47,Business Owner,654600,9.6,2,Consumer Durable,345000,12,4,799800,26280,95,52.7,44.93,0,0,0,2,27.7,7,97.93,723,1
21,Self-Employed,184800,4.5,0,Home,79000,36,3,613100,14930,95,42.75,24.76,0,2,13,2,0.5,8,95.54,625,0
43,Self-Employed,535000,4.4,0,Home,1186000,60,0,0,0,61.33,221.68,35.99,0,2,13,3,18.9,3,100,725,0
21,Contract,341200,4.8,4,Home,923000,36,4,1424200,29280,95,270.52,32.07,0,0,0,1,0.5,5,100,654,0
36,Self-Employed,180000,9.6,5,Personal,457000,48,0,0,0,88.19,253.89,23.29,0,1,7,4,11.8,2,100,695,0
26,Self-Employed,707600,7.3,0,Home,565000,60,0,0,0,21.7,79.85,27.91,0,2,32,3,0.8,3,89.34,651,0
44,Salaried,558600,3,2,Vehicle,1166000,24,1,272900,9340,95,208.74,29.91,0,1,18,2,25.7,3,98.01,740,0
41,Salaried,1135500,5.5,2,Personal,1062000,60,1,264200,7890,36.33,93.53,27.16,1,3,21,0,24.6,5,80.07,738,1
44,Salaried,579000,8.4,6,Home,410000,60,0,0,0,18.63,70.81,1,0,1,12,4,23.7,3,96.68,781,1
33,Self-Employed,876400,8.7,3,Business,1130000,60,2,259400,8690,45.39,128.94,7.85,1,2,28,2,10.3,5,91.07,691,0
34,Salaried,1795400,10.3,1,Home Renovation,829000,48,1,450200,9060,22.21,46.17,14.98,0,0,0,0,4.5,5,97.97,726,1
23,Salaried,641300,4.5,3,Home,862000,48,4,853500,30150,95,134.41,19.15,0,1,15,6,1.8,8,96.05,658,1
27,Self-Employed,894900,4.5,0,Consumer Durable,599000,84,1,354000,8420,27.35,66.93,41.46,0,0,0,0,0.5,2,100,660,0
44,Salaried,1011500,9.9,1,Home Renovation,712000,36,1,339200,6280,35.04,70.39,45.52,0,0,0,3,16.8,2,96.83,710,0
39,Salaried,622800,5,0,Vehicle,1705000,12,0,0,0,95,273.76,6.44,0,0,0,6,11,4,100,710,0
37,Salaried,1044200,8.9,0,Personal,2795000,36,0,0,0,95,267.67,38.65,0,0,0,2,20.9,2,98.84,735,0
47,Business Owner,1481100,5.1,2,Vehicle,1688000,48,2,287300,9270,43.27,113.97,29.04,0,0,0,2,18.5,5,99.38,709,1
25,Salaried,578200,3,0,Consumer Durable,1408000,48,0,0,0,77.89,243.51,40.75,0,1,11,3,7.5,4,99.86,658,0
42,Salaried,426800,4.4,1,Home Renovation,709000,36,0,0,0,65.07,166.12,9.69,0,0,0,2,11.9,6,100,738,1
26,Salaried,833500,5,2,Medical,1717000,60,1,298600,11620,79.35,206,30.47,0,1,8,5,5.6,3,90.97,702,0
49,Self-Employed,1023300,1.5,2,Education,1814000,36,3,379900,14020,86.4,177.27,17.29,0,0,0,1,24.5,6,97.98,778,1
41,Salaried,498300,7.4,3,Personal,1340000,12,1,40500,970,95,268.91,50.03,0,3,49,4,17.3,7,97.26,663,0
44,Salaried,373600,7.9,2,Home,158000,36,0,0,0,18.23,42.29,34.07,0,1,16,2,21.2,4,98.14,744,1
30,Salaried,491800,3.7,4,Business,525000,48,1,710400,20880,86.18,106.75,17.67,1,3,36,3,10.1,4,83.79,635,0
55,Salaried,821000,11.1,3,Personal,1539000,24,0,0,0,95,187.45,21.52,0,0,0,2,27.7,2,98.23,755,0
53,Salaried,495200,7.8,2,Business,1237000,48,1,469900,14650,95,249.8,29.95,0,0,0,4,25.9,5,99.65,748,1
40,Professional,353300,7.3,0,Education,981000,48,1,314000,11430,95,277.67,48.5,0,2,16,4,11.5,5,96.25,627,0
46,Salaried,648000,7.9,2,Medical,1533000,36,0,0,0,94.75,236.57,24.61,0,0,0,2,23.5,2,100,759,1
33,Salaried,862000,4.5,1,Education,698000,24,1,126900,4790,52.27,80.97,39.72,1,3,25,1,8.3,2,81.48,634,0
25,Salaried,1023500,3,2,Personal,727000,24,0,0,0,41.67,71.03,40.43,0,1,18,1,4.5,1,96.02,652,1
43,Salaried,1585500,0.5,1,Personal,1307000,36,1,34400,1420,36.04,82.43,48.07,0,0,0,3,11.5,3,98.9,701,1
28,Salaried,821100,11.3,1,Personal,1316000,48,0,0,0,53.51,160.27,38.98,0,2,24,5,0.5,3,94.89,623,0
47,Business Owner,1205800,2.9,2,Medical,2301000,12,4,1013800,28580,95,190.83,31.86,1,1,11,5,29.9,6,88.94,737,0
45,Salaried,591700,5.6,3,Home Renovation,1470000,24,1,108200,3720,95,248.44,25.78,0,2,11,1,20.8,4,92.57,713,0
38,Salaried,497300,7.2,2,Medical,537000,36,1,253600,6340,59.35,107.98,35.41,0,0,0,3,8.5,4,99.25,666,1
38,Professional,772500,6.7,1,Personal,1593000,36,0,0,0,82.9,206.21,30.11,0,0,0,4,18.9,2,100,739,0
44,Self-Employed,549300,8.7,1,Personal,1002000,60,0,0,0,51,182.41,33.02,0,1,17,2,22.6,1,93.7,723,1
38,Business Owner,1518400,7.5,1,Personal,924000,84,1,994900,33120,38.33,60.85,28.63,0,0,0,3,12.2,3,96.4,715,1
33,Salaried,344100,5.7,1,Education,844000,24,0,0,0,95,245.28,4.56,0,1,10,3,5.8,2,92.4,693,0
23,Self-Employed,1787300,4.2,3,Education,4242000,36,2,529300,14280,95,237.34,9.21,1,2,33,3,0.5,4,81.81,632,0
44,Professional,411600,9.4,1,Personal,1086000,12,1,205900,8390,95,263.85,5.33,0,0,0,4,19.6,3,94.94,756,1
39,Self-Employed,947900,3.1,5,Home,467000,36,1,254100,5850,28.21,49.27,24.94,0,0,0,0,7.9,3,97.47,697,1
59,Salaried,997000,11.6,2,Education,1259000,60,2,127800,4420,37.29,126.28,30.15,0,1,15,4,29.3,3,95.5,757,1
35,Business Owner,750900,6.7,1,Education,819000,60,0,0,0,30.09,109.07,34.93,0,1,13,0,16.4,4,95.59,733,1
39,Salaried,1020600,3,2,Personal,2573000,72,1,37000,1340,66.15,252.11,18.03,0,0,0,3,14.4,3,96.77,768,1
39,Business Owner,700300,3.8,1,Personal,1553000,60,1,352400,10070,80.47,221.76,61.49,0,0,0,1,20.1,2,100,711,0
42,Salaried,459700,9.5,2,Home,427000,36,0,0,0,36.58,92.89,27.34,0,1,9,3,20,2,95.58,732,0
28,Salaried,318200,3.2,3,Vehicle,92000,36,2,3011900,117410,95,28.91,23.44,0,2,21,2,6.8,7,95.24,659,1
35,Self-Employed,502500,6.9,0,Vehicle,1333000,72,1,160500,4710,70.9,265.27,45.81,0,0,0,3,7.4,5,100,621,0
43,Salaried,827500,4.7,3,Medical,1151000,36,0,0,0,56.18,139.09,26.71,0,0,0,1,14.3,3,100,700,0
33,Self-Employed,465400,6.4,1,Home Renovation,327000,36,0,0,0,28.17,70.26,15.43,0,1,13,5,10.3,3,99.33,706,1
43,Salaried,180000,10.3,3,Personal,458000,60,1,69500,2050,78.77,254.44,51.91,0,0,0,4,18.9,4,100,664,0
37,Self-Employed,845800,5,1,Personal,905000,84,1,24700,1020,26.4,107,14.52,0,1,12,4,10.8,5,96.69,733,1
39,Salaried,863100,9.8,1,Business,1072000,84,1,204700,6680,34.18,124.2,21.46,0,0,0,3,17.3,3,98.41,723,1
46,Salaried,639200,5.3,1,Education,1323000,12,0,0,0,95,206.98,15.96,0,2,16,1,24.8,2,93.99,758,0
34,Professional,316700,4.1,2,Personal,462000,60,1,446900,9900,75.61,145.88,42.44,0,0,0,1,12.2,5,100,698,0
24,Business Owner,700700,7.9,1,Personal,1613000,24,0,0,0,95,230.2,36.06,0,0,0,2,5.4,2,100,682,0
34,Salaried,382600,6.3,3,Personal,655000,36,0,0,0,70.59,171.2,48.62,0,2,16,3,4.1,1,96.92,630,0
29,Salaried,429100,10.1,2,Home Renovation,647000,24,2,658500,21160,95,150.78,43.29,0,0,0,2,10.6,6,100,672,0
21,Salaried,594600,3.8,0,Home,158000,36,0,0,0,10.45,26.57,30.92,0,2,28,0,0.5,1,95.1,655,1
35,Professional,368600,2.7,1,Consumer Durable,298000,36,3,430100,11800,71.11,80.85,30.14,0,0,0,1,3.6,7,99.46,651,0
38,Contract,434600,9.4,3,Education,497000,36,2,704000,22120,95,114.36,21.03,0,0,0,1,8,4,100,712,0
45,Salaried,470500,2,1,Business,599000,36,1,53100,1770,56.88,127.31,51.05,1,3,17,3,18.1,4,88.78,662,0
26,Salaried,1052700,9.5,3,Home,2291000,48,1,122300,4300,69.92,217.63,41.32,0,0,0,1,4.2,4,100,653,0
37,Business Owner,1172600,2,1,Personal,2098000,84,2,912100,22530,63.25,178.92,24.17,1,1,11,2,6.2,5,97.29,661,0
46,Salaried,621600,8.7,0,Personal,431000,12,0,0,0,74.73,69.34,31.9,0,1,17,1,28.5,4,96.91,750,1
31,Self-Employed,588900,6.8,1,Home,516000,36,2,1565800,38770,95,87.62,31.74,0,2,23,2,0.9,4,90.46,659,0
41,Salaried,687400,1.2,1,Medical,932000,36,1,347500,13290,76.13,135.58,33.71,1,6,30,1,24,3,71.35,683,0
50,Salaried,895200,0.5,4,Personal,426000,48,0,0,0,15.25,47.59,25.63,1,2,23,1,21.6,3,82.87,698,1
21,Salaried,425200,6.5,2,Personal,1186000,60,0,0,0,80.06,278.93,25.78,0,1,15,8,0.5,3,95.3,666,0
38,Business Owner,394300,9.1,5,Home,430000,60,0,0,0,29.98,109.05,25.82,0,0,0,2,13.6,2,98.4,714,1
46,Self-Employed,516900,9.9,1,Personal,1049000,60,1,317000,10850,85.74,202.94,24.28,0,1,11,3,30,5,96.92,739,0
33,Salaried,808600,1.9,3,Personal,491000,36,1,39800,1660,27.97,60.72,20.72,0,0,0,1,9.9,7,100,724,1
48,Self-Employed,690100,8.4,2,Personal,1396000,48,0,0,0,61.47,202.29,11.78,0,1,10,3,24.2,4,97.81,772,1
41,Salaried,664400,6,2,Personal,845000,60,3,311200,9180,54.55,127.18,57.45,0,0,0,2,19.2,6,100,704,0
51,Salaried,656400,10.8,1,Vehicle,235000,36,2,451800,13240,37.97,35.8,55.91,0,1,10,1,22.1,3,93.47,715,0
41,Salaried,1645100,4.2,0,Business,3263000,48,0,0,0,62.71,198.35,33.02,0,0,0,3,18.3,3,96.67,709,1
52,Salaried,723400,7,1,Home Renovation,788000,12,0,0,0,95,108.93,33.85,0,1,15,2,31.6,4,99.92,787,1
39,Salaried,590600,0.9,1,Home,950000,84,1,639900,16700,68.11,160.85,38.18,0,0,0,4,16.8,5,100,717,0
24,Salaried,796800,8.1,1,Vehicle,1204000,60,2,1140000,32090,94.1,151.1,35.84,0,0,0,0,1.8,7,100,647,0
31,Salaried,427800,2.3,3,Personal,197000,36,0,0,0,17.62,46.05,21.84,0,0,0,1,14.9,1,99.47,743,0
45,Business Owner,534200,7.7,0,Education,1284000,36,1,109000,3260,95,240.36,4.6,0,0,0,1,15.7,3,99.02,704,0
44,Salaried,1251700,6.5,0,Personal,354000,60,0,0,0,7.62,28.28,50.18,0,0,0,0,24.1,5,97.6,737,1
33,Self-Employed,914200,4.3,1,Personal,1087000,84,2,635600,19140,53.97,118.9,36.72,0,0,0,2,7.4,3,100,661,1
51,Self-Employed,1075000,4.1,0,Education,519000,48,0,0,0,14.96,48.28,23.64,1,1,17,2,22.7,2,86.89,723,1
33,Professional,565400,6,1,Home,862000,60,0,0,0,41.65,152.46,29.88,0,0,0,1,2.2,2,100,668,0
40,Self-Employed,1235900,7.5,2,Home Renovation,777000,24,3,219900,7370,43.42,62.87,21.43,0,0,0,2,15.4,6,99.17,689,1
40,Professional,467000,6.9,1,Vehicle,795000,72,0,0,0,40.1,170.24,12.22,0,0,0,5,11.9,2,99.56,706,1
25,Self-Employed,247500,8.9,0,Vehicle,204000,36,4,2681300,93670,95,82.42,27.88,0,0,0,1,3.1,5,100,684,0
35,Professional,474400,5.2,2,Consumer Durable,531000,24,0,0,0,64.46,111.93,16.8,0,1,12,4,10.1,6,99.7,695,0
56,Salaried,468900,6.4,2,Business,1292000,36,0,0,0,95,275.54,64.02,0,1,14,4,31.4,2,95.08,716,0
28,Business Owner,1316100,10.6,2,Home,1304000,48,1,46300,1040,31.77,99.08,17.4,1,1,15,1,3.8,3,83.57,638,1
41,Salaried,383100,8.4,0,Business,893000,36,1,164300,4770,95,233.1,39.67,0,0,0,4,19.5,3,100,701,0
26,Salaried,1001800,1.8,1,Personal,1012000,60,1,197400,7400,37.72,101.02,76.13,1,5,72,2,5.9,6,79.51,584,0
28,Business Owner,728600,3.8,0,Personal,823000,36,0,0,0,43.81,112.96,37.14,0,1,9,2,7.3,2,98.98,677,0
24,Salaried,431400,5.3,6,Personal,706000,48,2,139200,4120,61.64,163.65,20.45,0,0,0,2,3.8,4,100,681,0
44,Self-Employed,953700,3.5,1,Business,1311000,24,1,296200,5550,84.31,137.46,13.91,0,2,12,3,14.9,6,94.09,718,0
29,Professional,586100,8,4,Personal,561000,24,1,619100,21000,95,95.72,20.5,0,0,0,4,14.8,3,100,692,0
